LocationType,Location,Single Age,TimeFrame,DataFormat,Data
Nation,United States,<1,1990,Number,3986488
State,Alabama,<1,1990,Number,59777
State,Alaska,<1,1990,Number,12009
State,Arizona,<1,1990,Number,65051
State,Arkansas,<1,1990,Number,34451
State,California,<1,1990,Number,561534
State,Colorado,<1,1990,Number,53507
State,Connecticut,<1,1990,Number,49637
State,Delaware,<1,1990,Number,10689
City,District of Columbia,<1,1990,Number,8890
State,Florida,<1,1990,Number,188577
State,Georgia,<1,1990,Number,107583
State,Hawaii,<1,1990,Number,18787
State,Idaho,<1,1990,Number,16739
State,Illinois,<1,1990,Number,184854
State,Indiana,<1,1990,Number,83029
State,Iowa,<1,1990,Number,39388
State,Kansas,<1,1990,Number,38549
State,Kentucky,<1,1990,Number,51946
State,Louisiana,<1,1990,Number,68088
State,Maine,<1,1990,Number,17615
State,Maryland,<1,1990,Number,78443
State,Massachusetts,<1,1990,Number,91286
State,Michigan,<1,1990,Number,152156
State,Minnesota,<1,1990,Number,69489
State,Mississippi,<1,1990,Number,40663
State,Missouri,<1,1990,Number,76618
State,Montana,<1,1990,Number,11956
State,Nebraska,<1,1990,Number,24561
State,Nevada,<1,1990,Number,21010
State,New Hampshire,<1,1990,Number,17919
State,New Jersey,<1,1990,Number,118631
State,New Mexico,<1,1990,Number,26943
State,New York,<1,1990,Number,281768
State,North Carolina,<1,1990,Number,100269
State,North Dakota,<1,1990,Number,9444
State,Ohio,<1,1990,Number,163619
State,Oklahoma,<1,1990,Number,46853
State,Oregon,<1,1990,Number,43054
State,Pennsylvania,<1,1990,Number,167749
State,Rhode Island,<1,1990,Number,14835
State,South Carolina,<1,1990,Number,55344
State,South Dakota,<1,1990,Number,11117
State,Tennessee,<1,1990,Number,71428
State,Texas,<1,1990,Number,297856
State,Utah,<1,1990,Number,36134
State,Vermont,<1,1990,Number,8555
State,Virginia,<1,1990,Number,96069
State,Washington,<1,1990,Number,79536
State,West Virginia,<1,1990,Number,21612
State,Wisconsin,<1,1990,Number,73817
State,Wyoming,<1,1990,Number,7054
Territory,Puerto Rico,<1,1990,Number,N.A.
Territory,Puerto Rico,<1,1991,Number,N.A.
State,Wyoming,<1,1991,Number,6633
State,Wisconsin,<1,1991,Number,69267
State,West Virginia,<1,1991,Number,21741
State,Washington,<1,1991,Number,78845
State,Virginia,<1,1991,Number,94927
State,Vermont,<1,1991,Number,7880
State,Utah,<1,1991,Number,35533
State,Texas,<1,1991,Number,310439
State,Tennessee,<1,1991,Number,72124
State,South Dakota,<1,1991,Number,10606
State,South Carolina,<1,1991,Number,55863
State,Rhode Island,<1,1991,Number,14571
State,Pennsylvania,<1,1991,Number,163197
State,Oregon,<1,1991,Number,41921
State,Oklahoma,<1,1991,Number,46679
State,Ohio,<1,1991,Number,160453
State,North Dakota,<1,1991,Number,8468
State,North Carolina,<1,1991,Number,100632
State,New York,<1,1991,Number,284488
State,New Mexico,<1,1991,Number,27182
State,New Jersey,<1,1991,Number,118667
State,New Hampshire,<1,1991,Number,16110
State,Nevada,<1,1991,Number,21791
State,Nebraska,<1,1991,Number,23255
State,Montana,<1,1991,Number,11259
State,Missouri,<1,1991,Number,75997
State,Mississippi,<1,1991,Number,40913
State,Minnesota,<1,1991,Number,65378
State,Michigan,<1,1991,Number,144990
State,Massachusetts,<1,1991,Number,86782
State,Maryland,<1,1991,Number,78278
State,Maine,<1,1991,Number,16350
State,Louisiana,<1,1991,Number,68648
State,Kentucky,<1,1991,Number,52171
State,Kansas,<1,1991,Number,36934
State,Iowa,<1,1991,Number,37946
State,Indiana,<1,1991,Number,82480
State,Illinois,<1,1991,Number,187020
State,Idaho,<1,1991,Number,16488
State,Hawaii,<1,1991,Number,19205
State,Georgia,<1,1991,Number,107379
State,Florida,<1,1991,Number,192096
City,District of Columbia,<1,1991,Number,8975
State,Delaware,<1,1991,Number,10781
State,Connecticut,<1,1991,Number,47712
State,Colorado,<1,1991,Number,53108
State,California,<1,1991,Number,598068
State,Arkansas,<1,1991,Number,34485
State,Arizona,<1,1991,Number,67267
State,Alaska,<1,1991,Number,11439
State,Alabama,<1,1991,Number,60359
Nation,United States,<1,1991,Number,4003780
Nation,United States,<1,1992,Number,3972775
State,Alabama,<1,1992,Number,60575
State,Alaska,<1,1992,Number,11073
State,Arizona,<1,1992,Number,67196
State,Arkansas,<1,1992,Number,34375
State,California,<1,1992,Number,583437
State,Colorado,<1,1992,Number,53653
State,Connecticut,<1,1992,Number,46900
State,Delaware,<1,1992,Number,10543
City,District of Columbia,<1,1992,Number,8497
State,Florida,<1,1992,Number,188055
State,Georgia,<1,1992,Number,107799
State,Hawaii,<1,1992,Number,18987
