name,typeString,addressLineOne,addressLineTwo,city,state,zipFive,zipFour,county,isPoBoxLocation,phone,drivingDirectionsLink,grantNumber,delegateNumber,programName,programAddressLineOne,programAddressLineTwo,programCity,programState,programZipFive,programZipFour,programCounty,programPhone,programRegistrationPhone,latitude,longitude
Lakeview (Plaza),,11500 Joslin St,,Santa Fe Springs,CA,90670,3612,Los Angeles County,,(562) 929-6320,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 929-6320,(562)776-1301,33.9443,-118.0887
El Sereno (Plaza),,5036 North Huntington Drive,,Los Angeles,CA,90032,-1,Los Angeles County,,(323) 222-2786,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(323) 222-2786,(562)776-1301,34.0891,-118.1716
Cedillo (Plaza),,2141 Workman St,,Los Angeles,CA,90031,3039,Los Angeles County,,(323) 225-9792,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(323) 225-9792,(562)776-1301,34.0706,-118.2144
Little Star (Plaza),,12322 Pellissier Rd,,Whittier,CA,90601,1541,Los Angeles County,,(562) 699-5655,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 699-5655,(562)776-1301,34.0337,-118.0322
Columbia (Plaza),,12830 Columbia Way,,Downey,CA,90242,4720,Los Angeles County,,(562) 803-6229,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 803-6229,(562)776-1301,33.9141,-118.1341
Rancho (Plaza),,9329 Alburtis Ave,,Santa Fe Springs,CA,90670,2862,Los Angeles County,,(562) 692-9580,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 692-9580,(562)776-1301,33.956,-118.0796
Alatorre (Plaza),,5480 Huntington Dr S,,Los Angeles,CA,90032,1725,Los Angeles County,,(323) 222-9776,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(323) 222-9776,(562)776-1301,34.0927,-118.161
West Whittier (Plaza),,6411 Norwalk Blvd,,Whittier,CA,90606,1502,Los Angeles County,,(562) 695-1070,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 695-1070,(562)776-1301,33.9866,-118.0674
Trinity (Plaza),,13118 Rainier Ave,,Whittier,CA,90605,3527,Los Angeles County,,(562) 941-0244,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 941-0244,(562)776-1301,33.9275,-118.0527
Pio Pico (Plaza),,4211 Columbia Ave,,Pico Rivera,CA,90660,1620,Los Angeles County,,(562) 463-9496,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 463-9496,(562)776-1301,34.014,-118.0837
Lincoln (Plaza),,12620 Broadway,,Whittier,CA,90601,3324,Los Angeles County,,(562) 945-3264,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 945-3264,(562)776-1301,33.9863,-118.0418
East Whittier (Plaza),,9951 Mills Ave,,Whittier,CA,90604,1033,Los Angeles County,,(562) 907-1841,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 907-1841,(562)776-1301,33.9435,-118.0274
City Terrace (Plaza),,3260 Marengo St,,Los Angeles,CA,90063,2022,Los Angeles County,,(323) 647-6269,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(323) 647-6269,(562)776-1301,34.0547,-118.1907
Maizeland (Plaza),,7601 Cord Ave,,Pico Rivera,CA,90660,4229,Los Angeles County,,(562) 205-2792,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(562) 205-2792,(562)776-1301,33.9701,-118.0944
Northrup (Plaza),,409 S Atlantic Blvd,,Alhambra,CA,91801,3643,Los Angeles County,,(626) 677-4861,,09CH011157,2,Plaza de la Raza Child Development Services Inc.,13300 Crossroads Pkwy N,Ste 440,City Of Industry,CA,91746,3440,Los Angeles County,(626) 677-4861,(562)776-1301,34.0855,-118.1348
Green (PACE),,4520 W 168th St,,Lawndale,CA,90260,3246,Los Angeles County,,(310) 370-6345,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(310) 370-6345,(213)989-3244,33.8785,-118.3554
Anderson (PACE),,4130 W 154th St,,Lawndale,CA,90260,1740,Los Angeles County,,(310) 219-1773,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(310) 219-1773,(213)989-3244,33.891,-118.3439
Little Stars (PACE),,1322 S New Hampshire Ave,,Los Angeles,CA,90006,4508,Los Angeles County,,(213) 739-0098,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(213) 739-0098,(213)989-3244,34.0466,-118.2923
West Blvd (PACE),,1809 West Blvd,,Los Angeles,CA,90019,5815,Los Angeles County,,(323) 354-8099,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(323) 354-8099,(213)989-3244,34.0404,-118.3371
Christian Fellowship (PACE),,2085 S Hobart Blvd,,Los Angeles,CA,90018,1507,Los Angeles County,,(323) 766-0722,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(323) 766-0722,(213)989-3244,34.0381,-118.3075
St. John (PACE),,14517 Crenshaw Blvd,,Gardena,CA,90249,3144,Los Angeles County,,(424) 456-4889,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(424) 456-4889,(213)989-3244,33.8995,-118.3271
Grandview (PACE),,2300 James M Wood Blvd,,Los Angeles,CA,90006,2068,Los Angeles County,,(213) 738-7295,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(213) 738-7295,(213)989-3244,34.0543,-118.281
Good Beginnings (PACE),,1839 S Hoover St,,Los Angeles,CA,90006,4913,Los Angeles County,,(213) 744-1347,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(213) 744-1347,(213)989-3244,34.041,-118.2842
Young Innovators (PACE),,3740 Don Felipe Dr,,Los Angeles,CA,90008,4228,Los Angeles County,,(323) 389-8470,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(323) 389-8470,(213)989-3244,34.0068,-118.3407
Rising Stars (PACE),,731 Beacon Ave,,Los Angeles,CA,90017,2185,Los Angeles County,,(213) 353-0300,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(213) 353-0300,(213)989-3244,34.0536,-118.2732
Early Explorers (PACE),,1200 S Manhattan Pl,,Los Angeles,CA,90019,3619,Los Angeles County,,(323) 643-4850,,09CH011157,3,Pacific Asian Consortium In Employment,1055 Wilshire Blvd,Ste 1050,Los Angeles,CA,90017,5654,Los Angeles County,(323) 643-4850,(213)989-3244,34.0491,-118.3098
Rice (Garvey),,2150 Angelus Ave,,Rosemead,CA,91770,3619,Los Angeles County,,(626) 927-5190,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 927-5190,(626)307-3396,34.0535,-118.0871
Sanchez (Garvey),,8470 Fern Ave,,Rosemead,CA,91770,3261,Los Angeles County,,(626) 927-5790,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 927-5790,(626)307-3396,34.0572,-118.0837
Emerson (Garvey),,7544 Emerson Pl,,Rosemead,CA,91770,2210,Los Angeles County,,(626) 927-5591,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 927-5591,(626)307-3396,34.0662,-118.105
Monterey Vista (Garvey),,901 E Graves Ave,,Monterey Park,CA,91755,4223,Los Angeles County,,(626) 927-5895,,09CH011157,7,Garvey School District,7424 Newmark Ave, ,Rosemead,CA,91770,2943,Los Angeles County,(626) 927-5895,(626)307-3396,34.0554,-118.1102
