LocationType,Location,Age group,TimeFrame,DataFormat,Data
Nation,United States,<3,1990,Number,13835
Nation,United States,3,1990,Number,132750
Nation,United States,4,1990,Number,321473
Nation,United States,5 years and older,1990,Number,27574
Nation,United States,Total,1990,Number,495632
Nation,United States,Total,1991,Number,556316
Nation,United States,5 years and older,1991,Number,33041
Nation,United States,4,1991,Number,355179
Nation,United States,3,1991,Number,154283
Nation,United States,<3,1991,Number,13813
Nation,United States,<3,1992,Number,17390
Nation,United States,3,1992,Number,173269
Nation,United States,4,1992,Number,391536
Nation,United States,5 years and older,1992,Number,34317
Nation,United States,Total,1992,Number,616512
Nation,United States,Total,1993,Number,666350
Nation,United States,5 years and older,1993,Number,34837
Nation,United States,4,1993,Number,423803
Nation,United States,3,1993,Number,185465
Nation,United States,<3,1993,Number,22245
Nation,United States,<3,1994,Number,20414
Nation,United States,3,1994,Number,211536
Nation,United States,4,1994,Number,456191
Nation,United States,5 years and older,1994,Number,42886
Nation,United States,Total,1994,Number,731027
Nation,United States,Total,1995,Number,782066
Nation,United States,5 years and older,1995,Number,48433
Nation,United States,4,1995,Number,483138
Nation,United States,3,1995,Number,229050
Nation,United States,<3,1995,Number,21445
Nation,United States,<3,1996,Number,21360
Nation,United States,3,1996,Number,239538
Nation,United States,4,1996,Number,489402
Nation,United States,5 years and older,1996,Number,47438
Nation,United States,Total,1996,Number,797738
Nation,United States,Total,1997,Number,811333
Nation,United States,5 years and older,1997,Number,48433
Nation,United States,4,1997,Number,490457
Nation,United States,3,1997,Number,248831
Nation,United States,<3,1997,Number,23612
Nation,United States,<3,1998,Number,31786
Nation,United States,3,1998,Number,259335
Nation,United States,4,1998,Number,482329
Nation,United States,5 years and older,1998,Number,48341
Nation,United States,Total,1998,Number,821791
Nation,United States,Total,1999,Number,850277
Nation,United States,5 years and older,1999,Number,45290
Nation,United States,4,1999,Number,486031
Nation,United States,3,1999,Number,283037
Nation,United States,<3,1999,Number,35919
Nation,United States,<3,2000,Number,55283
Nation,United States,3,2000,Number,299194
Nation,United States,4,2000,Number,485232
Nation,United States,5 years and older,2000,Number,42429
Nation,United States,Total,2000,Number,882138
Nation,United States,Total,2001,Number,910447
Nation,United States,5 years and older,2001,Number,38689
Nation,United States,4,2001,Number,487041
Nation,United States,3,2001,Number,317481
Nation,United States,<3,2001,Number,67236
Nation,United States,<3,2002,Number,80675
Nation,United States,3,2002,Number,342841
Nation,United States,4,2002,Number,496881
Nation,United States,5 years and older,2002,Number,47389
Nation,United States,Total,2002,Number,967786
Nation,United States,Total,2003,Number,1012965
Nation,United States,5 years and older,2003,Number,46677
Nation,United States,4,2003,Number,523004
