LocationType,Location,TimeFrame,DataFormat,Data
State,Alabama,2019,Number,32000
State,Alabama,2021,Number,34000
State,Alabama,2017,Number,41000
State,Alabama,2016,Number,34000
State,Alabama,2012,Number,40000
State,Alabama,2014,Number,40000
State,Alabama,2011,Number,39000
State,Alabama,2015,Number,38000
State,Alabama,2009,Number,37000
State,Alabama,2010,Number,42000
State,Alabama,2018,Number,36000
State,Alabama,2013,Number,38000
State,Alabama,2008,Number,38000
State,Alaska,2008,Number,4000
State,Alaska,2013,Number,4000
State,Alaska,2018,Number,6000
State,Alaska,2009,Number,5000
State,Alaska,2010,Number,6000
State,Alaska,2015,Number,4000
State,Alaska,2011,Number,6000
State,Alaska,2014,Number,5000
State,Alaska,2012,Number,7000
State,Alaska,2016,Number,5000
State,Alaska,2017,Number,5000
State,Alaska,2021,Number,4000
State,Alaska,2019,Number,4000
State,Arizona,2019,Number,45000
State,Arizona,2021,Number,42000
State,Arizona,2016,Number,51000
State,Arizona,2017,Number,49000
State,Arizona,2012,Number,56000
State,Arizona,2014,Number,61000
State,Arizona,2011,Number,59000
State,Arizona,2015,Number,49000
State,Arizona,2009,Number,64000
State,Arizona,2010,Number,65000
State,Arizona,2018,Number,51000
State,Arizona,2013,Number,64000
State,Arizona,2008,Number,60000
State,Arkansas,2008,Number,27000
State,Arkansas,2013,Number,25000
State,Arkansas,2018,Number,22000
State,Arkansas,2010,Number,23000
State,Arkansas,2009,Number,24000
State,Arkansas,2015,Number,27000
State,Arkansas,2011,Number,25000
State,Arkansas,2014,Number,22000
State,Arkansas,2012,Number,25000
State,Arkansas,2016,Number,25000
State,Arkansas,2017,Number,23000
State,Arkansas,2021,Number,24000
State,Arkansas,2019,Number,20000
State,California,2019,Number,229000
State,California,2021,Number,237000
State,California,2016,Number,292000
State,California,2017,Number,260000
State,California,2012,Number,308000
State,California,2014,Number,311000
State,California,2011,Number,320000
State,California,2015,Number,304000
State,California,2010,Number,323000
State,California,2009,Number,322000
State,California,2018,Number,248000
State,California,2013,Number,320000
State,California,2008,Number,266000
State,Colorado,2008,Number,23000
State,Colorado,2013,Number,28000
State,Colorado,2018,Number,21000
State,Colorado,2009,Number,29000
State,Colorado,2010,Number,29000
State,Colorado,2011,Number,30000
State,Colorado,2015,Number,28000
State,Colorado,2014,Number,28000
State,Colorado,2012,Number,30000
State,Colorado,2017,Number,22000
State,Colorado,2016,Number,21000
State,Colorado,2021,Number,23000
State,Colorado,2019,Number,21000
State,Connecticut,2019,Number,11000
State,Connecticut,2021,Number,12000
State,Connecticut,2016,Number,14000
State,Connecticut,2017,Number,14000
State,Connecticut,2012,Number,15000
State,Connecticut,2014,Number,16000
State,Connecticut,2015,Number,14000
State,Connecticut,2011,Number,17000
State,Connecticut,2010,Number,18000
State,Connecticut,2009,Number,13000
State,Connecticut,2018,Number,14000
State,Connecticut,2013,Number,18000
State,Connecticut,2008,Number,13000
State,Delaware,2008,Number,3000
State,Delaware,2013,Number,6000
State,Delaware,2018,Number,5000
State,Delaware,2009,Number,6000
State,Delaware,2010,Number,6000
State,Delaware,2011,Number,4000
State,Delaware,2015,Number,4000
State,Delaware,2014,Number,7000
State,Delaware,2012,Number,6000
State,Delaware,2017,Number,5000
State,Delaware,2016,Number,5000
State,Delaware,2021,Number,5000
State,Delaware,2019,Number,6000
City,District of Columbia,2019,Number,4000
City,District of Columbia,2021,Number,5000
City,District of Columbia,2016,Number,5000
City,District of Columbia,2017,Number,7000
City,District of Columbia,2012,Number,4000
City,District of Columbia,2014,Number,5000
City,District of Columbia,2015,Number,7000
City,District of Columbia,2011,Number,8000
City,District of Columbia,2010,Number,5000
City,District of Columbia,2009,Number,5000
City,District of Columbia,2018,Number,S
City,District of Columbia,2013,Number,6000
City,District of Columbia,2008,Number,8000
State,Florida,2008,Number,110000
State,Florida,2013,Number,132000
State,Florida,2018,Number,121000
State,Florida,2009,Number,111000
State,Florida,2010,Number,130000
State,Florida,2011,Number,125000
