LocationType,Location,Age group,TimeFrame,DataFormat,Data
State,Alabama,less than 6,2019,Number,101000
State,Alabama,less than 13,2019,Number,222000
State,Alabama,less than 18,2019,Number,290000
State,Alabama,less than 6,2021,Number,98000
State,Alabama,less than 13,2021,Number,203000
State,Alabama,less than 18,2021,Number,272000
State,Alabama,less than 13,2017,Number,222000
State,Alabama,less than 18,2017,Number,289000
State,Alabama,less than 6,2017,Number,100000
State,Alabama,less than 18,2016,Number,292000
State,Alabama,less than 6,2016,Number,97000
State,Alabama,less than 13,2016,Number,219000
State,Alabama,less than 6,2012,Number,104000
State,Alabama,less than 13,2012,Number,223000
State,Alabama,less than 18,2012,Number,296000
State,Alabama,less than 13,2014,Number,231000
State,Alabama,less than 18,2014,Number,307000
State,Alabama,less than 6,2014,Number,105000
State,Alabama,less than 6,2011,Number,99000
State,Alabama,less than 13,2011,Number,216000
State,Alabama,less than 18,2011,Number,293000
State,Alabama,less than 6,2015,Number,94000
State,Alabama,less than 13,2015,Number,218000
State,Alabama,less than 18,2015,Number,289000
State,Alabama,less than 6,2010,Number,93000
State,Alabama,less than 13,2010,Number,200000
State,Alabama,less than 18,2010,Number,274000
State,Alabama,less than 13,2009,Number,204000
State,Alabama,less than 18,2009,Number,274000
State,Alabama,less than 6,2009,Number,96000
State,Alabama,less than 6,2013,Number,102000
State,Alabama,less than 13,2013,Number,220000
State,Alabama,less than 18,2013,Number,295000
State,Alabama,less than 6,2018,Number,92000
State,Alabama,less than 13,2018,Number,200000
State,Alabama,less than 18,2018,Number,266000
State,Alabama,less than 6,2008,Number,89000
State,Alabama,less than 13,2008,Number,193000
State,Alabama,less than 18,2008,Number,265000
State,Alaska,less than 6,2008,Number,10000
State,Alaska,less than 13,2008,Number,20000
State,Alaska,less than 18,2008,Number,25000
State,Alaska,less than 6,2013,Number,12000
State,Alaska,less than 13,2013,Number,25000
State,Alaska,less than 18,2013,Number,31000
State,Alaska,less than 6,2018,Number,11000
State,Alaska,less than 13,2018,Number,23000
State,Alaska,less than 18,2018,Number,28000
State,Alaska,less than 13,2009,Number,20000
State,Alaska,less than 18,2009,Number,27000
State,Alaska,less than 6,2009,Number,10000
State,Alaska,less than 6,2010,Number,11000
State,Alaska,less than 13,2010,Number,19000
State,Alaska,less than 18,2010,Number,25000
State,Alaska,less than 6,2011,Number,14000
State,Alaska,less than 13,2011,Number,30000
State,Alaska,less than 18,2011,Number,40000
State,Alaska,less than 6,2015,Number,13000
State,Alaska,less than 13,2015,Number,26000
State,Alaska,less than 18,2015,Number,32000
State,Alaska,less than 13,2014,Number,26000
State,Alaska,less than 18,2014,Number,32000
State,Alaska,less than 6,2014,Number,12000
State,Alaska,less than 6,2012,Number,13000
State,Alaska,less than 13,2012,Number,23000
State,Alaska,less than 18,2012,Number,32000
State,Alaska,less than 6,2016,Number,11000
State,Alaska,less than 13,2016,Number,24000
State,Alaska,less than 18,2016,Number,29000
State,Alaska,less than 13,2017,Number,27000
State,Alaska,less than 18,2017,Number,32000
State,Alaska,less than 6,2017,Number,12000
State,Alaska,less than 6,2021,Number,12000
State,Alaska,less than 13,2021,Number,24000
State,Alaska,less than 18,2021,Number,29000
State,Alaska,less than 6,2019,Number,13000
State,Alaska,less than 13,2019,Number,28000
State,Alaska,less than 18,2019,Number,33000
State,Arizona,less than 6,2019,Number,147000
State,Arizona,less than 13,2019,Number,333000
State,Arizona,less than 18,2019,Number,450000
State,Arizona,less than 6,2021,Number,121000
State,Arizona,less than 13,2021,Number,280000
State,Arizona,less than 18,2021,Number,382000
State,Arizona,less than 13,2017,Number,344000
State,Arizona,less than 18,2017,Number,457000
State,Arizona,less than 6,2017,Number,144000
State,Arizona,less than 18,2016,Number,472000
State,Arizona,less than 6,2016,Number,157000
State,Arizona,less than 13,2016,Number,349000
State,Arizona,less than 6,2012,Number,159000
State,Arizona,less than 13,2012,Number,349000
State,Arizona,less than 18,2012,Number,465000
State,Arizona,less than 13,2014,Number,353000
State,Arizona,less than 18,2014,Number,471000
State,Arizona,less than 6,2014,Number,161000
State,Arizona,less than 6,2015,Number,158000
State,Arizona,less than 13,2015,Number,367000
State,Arizona,less than 18,2015,Number,482000
State,Arizona,less than 6,2011,Number,166000
State,Arizona,less than 13,2011,Number,353000
State,Arizona,less than 18,2011,Number,473000
State,Arizona,less than 6,2010,Number,165000
State,Arizona,less than 13,2010,Number,355000
State,Arizona,less than 18,2010,Number,470000
State,Arizona,less than 13,2009,Number,355000
State,Arizona,less than 18,2009,Number,458000
State,Arizona,less than 6,2009,Number,172000
State,Arizona,less than 6,2018,Number,158000
State,Arizona,less than 13,2018,Number,342000
State,Arizona,less than 18,2018,Number,460000
State,Arizona,less than 6,2013,Number,156000
State,Arizona,less than 13,2013,Number,355000
State,Arizona,less than 18,2013,Number,482000
State,Arizona,less than 6,2008,Number,176000
State,Arizona,less than 13,2008,Number,353000
State,Arizona,less than 18,2008,Number,460000
State,Arkansas,less than 6,2008,Number,76000
State,Arkansas,less than 13,2008,Number,160000
State,Arkansas,less than 18,2008,Number,210000
State,Arkansas,less than 6,2018,Number,73000
State,Arkansas,less than 13,2018,Number,161000
State,Arkansas,less than 18,2018,Number,215000
State,Arkansas,less than 6,2013,Number,78000
State,Arkansas,less than 13,2013,Number,174000
State,Arkansas,less than 18,2013,Number,222000
State,Arkansas,less than 13,2009,Number,163000
State,Arkansas,less than 18,2009,Number,212000
State,Arkansas,less than 6,2009,Number,76000
State,Arkansas,less than 6,2010,Number,75000
State,Arkansas,less than 13,2010,Number,161000
State,Arkansas,less than 18,2010,Number,212000
State,Arkansas,less than 6,2011,Number,73000
State,Arkansas,less than 13,2011,Number,157000
State,Arkansas,less than 18,2011,Number,208000
State,Arkansas,less than 6,2015,Number,73000
State,Arkansas,less than 13,2015,Number,161000
State,Arkansas,less than 18,2015,Number,206000
State,Arkansas,less than 13,2014,Number,161000
State,Arkansas,less than 18,2014,Number,214000
State,Arkansas,less than 6,2014,Number,75000
State,Arkansas,less than 6,2012,Number,77000
State,Arkansas,less than 13,2012,Number,165000
State,Arkansas,less than 18,2012,Number,216000
State,Arkansas,less than 6,2016,Number,70000
State,Arkansas,less than 13,2016,Number,160000
State,Arkansas,less than 18,2016,Number,211000
State,Arkansas,less than 13,2017,Number,165000
State,Arkansas,less than 18,2017,Number,219000
State,Arkansas,less than 6,2017,Number,72000
State,Arkansas,less than 6,2021,Number,67000
State,Arkansas,less than 13,2021,Number,150000
State,Arkansas,less than 18,2021,Number,198000
State,Arkansas,less than 6,2019,Number,75000
State,Arkansas,less than 13,2019,Number,164000
State,Arkansas,less than 18,2019,Number,217000
State,California,less than 6,2019,Number,636000
State,California,less than 13,2019,Number,1503000
State,California,less than 18,2019,Number,2072000
State,California,less than 6,2021,Number,465000
State,California,less than 13,2021,Number,1150000
State,California,less than 18,2021,Number,1637000
State,California,less than 13,2017,Number,1603000
State,California,less than 18,2017,Number,2183000
State,California,less than 6,2017,Number,682000
State,California,less than 18,2016,Number,2312000
State,California,less than 6,2016,Number,742000
State,California,less than 13,2016,Number,1694000
State,California,less than 6,2012,Number,783000
State,California,less than 13,2012,Number,1753000
State,California,less than 18,2012,Number,2416000
State,California,less than 13,2014,Number,1762000
State,California,less than 18,2014,Number,2417000
State,California,less than 6,2014,Number,771000
State,California,less than 6,2015,Number,776000
State,California,less than 13,2015,Number,1767000
State,California,less than 18,2015,Number,2405000
State,California,less than 6,2011,Number,759000
State,California,less than 13,2011,Number,1716000
State,California,less than 18,2011,Number,2372000
State,California,less than 6,2010,Number,737000
State,California,less than 13,2010,Number,1662000
State,California,less than 18,2010,Number,2297000
State,California,less than 13,2009,Number,1659000
State,California,less than 18,2009,Number,2262000
State,California,less than 6,2009,Number,778000
State,California,less than 6,2018,Number,661000
State,California,less than 13,2018,Number,1551000
State,California,less than 18,2018,Number,2118000
State,California,less than 6,2013,Number,784000
State,California,less than 13,2013,Number,1757000
State,California,less than 18,2013,Number,2406000
State,California,less than 6,2008,Number,769000
State,California,less than 13,2008,Number,1637000
State,California,less than 18,2008,Number,2230000
State,Colorado,less than 6,2008,Number,107000
State,Colorado,less than 13,2008,Number,205000
State,Colorado,less than 18,2008,Number,265000
State,Colorado,less than 6,2013,Number,104000
State,Colorado,less than 13,2013,Number,218000
State,Colorado,less than 18,2013,Number,289000
State,Colorado,less than 6,2018,Number,86000
State,Colorado,less than 13,2018,Number,196000
State,Colorado,less than 18,2018,Number,262000
State,Colorado,less than 13,2009,Number,202000
State,Colorado,less than 18,2009,Number,258000
State,Colorado,less than 6,2009,Number,101000
State,Colorado,less than 6,2010,Number,94000
State,Colorado,less than 13,2010,Number,210000
State,Colorado,less than 18,2010,Number,268000
State,Colorado,less than 6,2015,Number,89000
State,Colorado,less than 13,2015,Number,202000
State,Colorado,less than 18,2015,Number,267000
State,Colorado,less than 6,2011,Number,99000
State,Colorado,less than 13,2011,Number,206000
State,Colorado,less than 18,2011,Number,266000
State,Colorado,less than 6,2012,Number,100000
State,Colorado,less than 13,2012,Number,221000
State,Colorado,less than 18,2012,Number,284000
State,Colorado,less than 13,2014,Number,221000
State,Colorado,less than 18,2014,Number,291000
State,Colorado,less than 6,2014,Number,101000
State,Colorado,less than 6,2016,Number,87000
State,Colorado,less than 13,2016,Number,206000
State,Colorado,less than 18,2016,Number,270000
State,Colorado,less than 13,2017,Number,196000
State,Colorado,less than 18,2017,Number,258000
State,Colorado,less than 6,2017,Number,86000
State,Colorado,less than 6,2021,Number,69000
State,Colorado,less than 13,2021,Number,153000
State,Colorado,less than 18,2021,Number,207000
State,Colorado,less than 6,2019,Number,81000
State,Colorado,less than 13,2019,Number,186000
State,Colorado,less than 18,2019,Number,249000
State,Connecticut,less than 6,2019,Number,38000
State,Connecticut,less than 13,2019,Number,90000
State,Connecticut,less than 18,2019,Number,122000
State,Connecticut,less than 6,2021,Number,34000
State,Connecticut,less than 13,2021,Number,76000
State,Connecticut,less than 18,2021,Number,107000
State,Connecticut,less than 13,2017,Number,89000
State,Connecticut,less than 18,2017,Number,127000
State,Connecticut,less than 6,2017,Number,36000
State,Connecticut,less than 18,2016,Number,131000
State,Connecticut,less than 6,2016,Number,44000
State,Connecticut,less than 13,2016,Number,100000
State,Connecticut,less than 6,2012,Number,39000
State,Connecticut,less than 13,2012,Number,90000
State,Connecticut,less than 18,2012,Number,121000
State,Connecticut,less than 13,2014,Number,96000
State,Connecticut,less than 18,2014,Number,131000
State,Connecticut,less than 6,2014,Number,42000
State,Connecticut,less than 6,2011,Number,41000
State,Connecticut,less than 13,2011,Number,94000
State,Connecticut,less than 18,2011,Number,126000
State,Connecticut,less than 6,2015,Number,38000
State,Connecticut,less than 13,2015,Number,88000
State,Connecticut,less than 18,2015,Number,118000
State,Connecticut,less than 6,2010,Number,37000
State,Connecticut,less than 13,2010,Number,79000
State,Connecticut,less than 18,2010,Number,112000
State,Connecticut,less than 13,2009,Number,81000
State,Connecticut,less than 18,2009,Number,113000
State,Connecticut,less than 6,2009,Number,38000
State,Connecticut,less than 6,2018,Number,40000
State,Connecticut,less than 13,2018,Number,99000
State,Connecticut,less than 18,2018,Number,133000
State,Connecticut,less than 6,2013,Number,40000
State,Connecticut,less than 13,2013,Number,92000
State,Connecticut,less than 18,2013,Number,124000
State,Connecticut,less than 6,2008,Number,36000
State,Connecticut,less than 13,2008,Number,79000
State,Connecticut,less than 18,2008,Number,108000
